Pro1	Pro2
P35226	Q92785
P35226	Q92769
P35226	P49411
P35226	Q13838
Q86YJ5	Q96DX4
Q86YJ5	Q8IYN0
Q86YJ5	Q8N6K7
Q86YJ5	Q8N0X7
Q86YJ5	P35663
Q86YJ5	Q6ZN57
Q86YJ5	P21283
Q86YJ5	P07900
Q86YJ5	Q07352
Q86YJ5	Q9BZM6
Q86YJ5	P09668
Q86YJ5	Q7Z3C6
Q86YJ5	Q9BRJ9
Q86YJ5	P51114
Q86YJ5	P0CG38
Q86YJ5	Q9UHP9
Q86YJ5	Q8WYQ9
Q9NRD0	Q9NQY0
Q9P253	O76015
Q9P253	Q7Z3C6
O15151	P10415
O15151	P41227
O15151	Q9H3D4
Q12834	Q9P031
Q12834	Q16763
Q12834	Q86T82
Q12834	O75496
Q12834	Q13257
Q12834	P12004
Q12834	Q92793
Q12834	Q00613
Q12834	Q99459
Q12834	Q96DE5
Q12834	P33981
Q12834	Q99832
Q12834	P68366
Q12834	Q15172
Q12834	P78371
Q12834	Q9UPT9
Q12834	A1A4G5
Q12834	Q07973
Q12834	P78396
Q9NV58	O43809
Q9NV58	P62837
Q9NV58	P62745
Q9NV58	O14933
Q9NV58	Q8NC42
Q5TC82	Q9H6R4
Q9H0A0	Q75WM6
P78317	P62899
P78317	Q9Y3E0
P78317	Q9NVP1
P78317	P12273
P78317	Q3ZAQ7
P78317	P42224
P78317	Q99729
P78317	P31944
P78317	Q8N8G2
P78317	Q9UIA9
Q8NG27	Q6NUQ4
Q8NG27	Q8N4T0
Q8NG27	P68036
Q8NG27	Q6IBW4
Q8NG27	Q9BV68
Q9UKT5	Q06787
Q9UKT5	Q15717
Q9UKT5	Q9UII4
Q9UKT5	O43318
Q9UKT5	Q8N3Y1
Q96PU4	Q9UQ88
Q96PU4	P15884
Q96PU4	P35222
Q96PU4	P12956
O15164	Q9H4K1
O43734	Q16552
Q86UW9	O75376
Q8N3Y1	Q96CM3
Q8N3Y1	P34932
Q8N3Y1	Q92854
Q8N3Y1	Q9H2J4
Q8N3Y1	P63151
Q8N3Y1	Q8IWJ2
Q8WXH5	Q9UBF6
Q96SW2	P27918
Q96SW2	P10599
Q8WXH4	P0CG48
Q5T4S7	P36915
Q693B1	Q8NC69
Q14669	P68036
Q14669	P12956
Q14669	P15927
Q14669	Q9UGI0
Q14669	P25490
Q96EP1	Q9Y2X8
Q96EP1	Q96EB6
Q96EP1	Q07954
Q96EP1	Q9BV68
Q96EP1	Q12834
Q96EP1	Q13322
Q96EP1	P37275
Q96EP1	P49736
Q96EP1	P61077
Q96EP1	P62837
Q96EP1	P26641
Q9NR09	Q5T6F0
Q9C0C7	Q04837
Q6Q0C0	P01111
Q6Q0C0	Q96DT6
Q14258	O75486
Q14258	Q9H3Z4
Q14258	Q9BYW2
Q14258	P05976
Q14258	P04792
Q14258	Q7Z7C8
Q14258	Q68DC2
Q14258	Q9NPE2
Q7L5Y6	P05090
Q7L5Y6	Q16526
Q7L5Y6	P01100
Q7L5Y6	P25311
Q7L5Y6	Q96LR5
Q7L5Y6	P11142
Q7L5Y6	Q13619
P0CI25	O00214
Q96FA3	P51668
Q96FA3	P49116
Q96FA3	Q9Y4K3
Q96FA3	P78527
Q96FA3	O95714
Q96FA3	Q9H426
Q96FA3	P61077
Q9Y314	P49327
Q9Y314	Q8IWL3
Q9H0M0	P61106
Q9H0M0	Q9BZD6
Q9H0M0	P27635
Q9H0M0	P83731
Q9H0M0	Q7Z417
Q9H0M0	Q92731
Q9H0M0	P43243
Q9H0M0	Q9NYF8
Q9H0M0	Q9Y5B8
Q9H0M0	Q9H4M7
Q9H0M0	P51668
Q9H0M0	Q99732
Q9H0M0	Q02543
Q9H0M0	Q6NZ67
Q9H0M0	Q07955
Q9H0M0	P13010
Q9H0M0	P62249
Q9H0M0	Q13243
Q9H0M0	O43390
Q9H0M0	Q9H3M7
Q8NEG5	P50895
Q9P0P0	P42025
Q9P0P0	Q86V24
Q6ZW49	O94993
P29590	Q13177
Q9NTX7	Q96IF1
Q9NTX7	Q86WJ1
Q9NTX7	P78314
Q9NTX7	P16403
Q9NTX7	O00410
Q9NTX7	P60484
Q9NTX7	P51668
Q9NTX7	Q8IUE6
Q9NTX7	Q15334
Q9UNL4	Q9BTM1
Q6P050	P63208
Q6P050	Q05639
Q2Q1W2	Q15910
Q969H0	P24752
Q969H0	Q9BTT4
Q969H0	P63173
Q969H0	P36542
Q969H0	Q00341
Q969H0	Q7KZ85
Q969H0	Q13451
Q969H0	Q8NCR0
Q969H0	O15160
Q969H0	P61964
Q969H0	P16401
Q969H0	Q9BUF5
Q969H0	Q15208
Q969H0	P62851
Q969H0	Q15797
Q969H0	Q13242
Q969H0	Q9UQ88
Q969H0	P61923
Q969H0	P40227
Q969H0	Q8NAA4
Q969H0	P54886
Q969H0	Q9NQS3
Q969H0	Q7L0Y3
Q969H0	Q9NYY3
Q969H0	P38159
Q969H0	Q92616
Q969H0	Q8IUX1
Q969H0	Q9BZF9
Q969H0	Q06787
Q969H0	Q92990
Q969H0	Q8N9N2
Q969H0	P27708
Q969H0	P05386
Q969H0	O00411
Q969H0	P17858
Q969H0	O60216
Q969H0	P27348
Q969H0	O00148
Q969H0	Q9NYL9
Q969H0	P35580
Q969H0	Q9Y5X3
Q969H0	P17936
Q969H0	P55209
Q969H0	Q9UNX3
Q969H0	O75223
Q969H0	Q5C9Z4
Q969H0	Q9Y2W1
Q969H0	Q8IWR0
Q969H0	Q12933
Q9H4M3	P48594
Q9H4M3	Q8WXI9
Q8IWV7	P62837
P62877	O43318
P62877	O94889
P62877	Q58EX2
Q8N1E6	Q6ZMI0
Q8N1E6	Q9BY50
Q8N1E6	O95825
Q8N1E6	Q69YN4
Q9BZY9	P14618
Q7Z6J0	P61077
Q7Z6J0	Q13094
Q7Z6J0	P54725
Q7Z6J0	P31946
Q7Z6J0	Q702N8
Q7Z6J0	O43516
Q7Z6J0	Q8N3F0
O95628	Q9UPQ9
O95628	Q9ULM6
O95628	Q96CW1
O95628	Q8N3F8
Q9HCI7	P25490
Q9HCI7	Q8N5Y2
Q9HCI7	Q9BZR9
Q5U5R9	Q96A37
Q96M02	P0CG48
O15344	P62333
O15344	P55198
O15344	Q8N8B7
O15344	P50221
O15344	Q13895
O15344	P61088
Q96AX9	Q13224
Q96AX9	P19338
Q96AX9	Q99832
Q96AX9	Q7Z434
Q96AX9	Q9Y219
Q96AX9	Q13422
Q96AX9	Q8NI32
O60337	P62253
O60337	Q99679
O94889	Q8WWZ1
O43567	P26440
O43567	P59780
Q99728	Q9BQ39
Q99728	O95751
Q99728	P17096
Q99728	Q14011
Q99728	P62805
Q5VTR2	Q8TDR4
Q5VTR2	Q8N6Y0
Q5VTR2	Q6PCT2
Q5VTR2	P12004
Q86YT6	Q8TF46
Q86YT6	Q9UPQ9
Q86YT6	Q16254
Q86YT6	Q71U36
Q86YT6	Q96HS1
Q86YT6	Q16531
Q86YT6	Q15050
Q86YT6	Q1MSJ5
Q86YT6	Q9P2S5
Q86YT6	Q09028
Q86YT6	O95684
Q86YT6	Q9H6S0
Q86YT6	O60716
Q8TDB6	P51668
Q8TDB6	P15260
Q8TDB6	P42224
Q8TDB6	Q13283
Q6TDP4	Q92696
Q8IYM9	P06730
Q92630	A5A3E0
Q8NHG8	P61077
Q7Z6M2	Q9Y2T7
Q7Z6M2	Q9Y4X5
Q9Y574	Q9UJY1
Q96ME1	O60260
Q8TCJ0	Q5T9A4
Q8TCJ0	O94832
Q8TCJ0	Q8IZ07
Q8TCJ0	P25098
Q9ULT8	P40763
Q9ULT8	P13639
Q9NQ86	P30622
Q9Y252	P09917
Q9Y252	P03372
Q9Y252	Q9Y2D8
Q9Y252	Q2TAC2
Q96F44	P22415
Q96F44	P54619
Q96F44	P61088
Q96F44	Q07820
Q96F44	Q9Y3I1
Q96F44	O00232
Q9H0H3	P35227
Q9Y2E6	Q14527
Q8N2H9	P47985
Q8N2H9	Q92569
Q8N2H9	Q9NWZ3
Q9C026	Q2TBE0
Q8NFD5	Q10570
P37231	P51608
P37231	Q96EY1
P36406	Q15742
P36406	P30085
P35869	O60563
Q9BYM8	Q9UDY8
Q9BYM8	Q8NFZ5
Q9BYM8	Q9P0P0
Q9BYM8	P61088
Q9BYM8	Q9Y2X8
Q9BYM8	P41227
Q9BYM8	P51668
Q9BYM8	Q13233
Q9BYM8	C9J7I0
Q9BYM8	Q8IX04
Q9BYM8	Q13618
Q15751	Q27J81
Q15751	Q9C0B0
Q9UHC7	Q9HCP0
Q9UHC7	Q8WWM7
Q9UHC7	P15170
Q9UHC7	Q9UJV8
Q9UHC7	P27635
Q9UHC7	P19525
Q99675	O14579
Q9UPN9	P12694
Q9UPN9	Q9UNK9
Q9UPN9	Q9UK32
Q8WV44	P10074
Q8WV44	Q9NSD4
Q8WV44	Q6P1L6
Q5XUX0	P63208
Q5XUX0	Q8N1B3
Q5XUX0	Q69YN4
Q5XUX0	Q13616
Q5XUX0	P62877
Q5XUX0	P35222
Q5XUX0	Q13277
Q8IXQ5	Q9H5N1
Q9NS56	Q14151
Q9NS56	P09651
Q9NS56	O95872
O14508	Q9BTE7
O14508	P63272
O14508	P13473
Q9C035	Q9UER7
Q8WU17	Q92611
Q8WU17	O75477
Q9BR09	Q8WUM4
P48742	Q15906
Q86WB0	P28799
Q9UII4	Q13309
Q13309	P61024
Q13309	O75953
Q13309	P49959
Q13309	Q9P0U3
Q13309	P14416
Q13309	P41229
Q13309	P35030
Q13309	O95072
Q13309	O15350
Q13309	Q09472
Q13309	Q9UBW8
Q13309	Q9UNE7
Q13309	O94966
Q13309	P40337
Q13309	Q9UBU9
Q13309	P25490
Q13309	Q9UGL1
Q13309	P42285
Q13309	O15027
Q13309	Q9NRI5
Q13309	Q92878
Q13309	O15111
Q13309	P78396
Q13309	Q9H0E2
Q13309	Q53RE8
Q13309	Q9H3Z4
Q13309	Q13098
Q13309	Q6SPF0
Q13309	Q9H9A6
Q13309	O60346
Q13309	Q06710
Q13309	Q9UM11
Q13309	O14757
Q13309	P61201
Q13309	P30279
Q13309	P49427
Q13309	O75665
Q13309	Q00526
Q13309	Q9BV68
Q13309	P35790
Q13309	P43364
Q13309	Q9UK80
Q13309	O75365
Q13309	Q13555
Q13309	P62324
Q13309	Q9NX18
Q13309	P43268
Q13309	Q9Y265
Q13309	Q99471
Q13309	Q8N4S7
Q13309	Q96Q27
Q13309	P30260
Q13309	P30874
Q13309	P30291
Q13309	Q96CX6
Q13309	P54578
Q13309	Q14694
Q13309	Q13950
Q13309	Q13619
Q13309	Q96BY7
Q13309	O14920
Q5XPI4	O75475
Q5XPI4	Q9BY89
Q5XPI4	P26641
Q5XPI4	Q13029
Q9NZJ0	Q8WVV4
Q9NZJ0	Q9UBW8
Q9NZJ0	O43684
Q9NZJ0	P20248
Q9NZJ0	P51965
Q9NZJ0	Q9UQM7
Q9NZJ0	Q13535
Q9NZJ0	Q5T749
Q9NZJ0	Q00987
Q9NZJ0	P63104
Q9NZJ0	Q13557
Q9NZJ0	Q8N4J0
Q9NZJ0	Q9NS91
Q9NZJ0	Q7L5N1
Q9NZJ0	P20930
P40337	Q01955
P40337	P22466
P40337	Q9UNE7
P40337	O75900
P40337	P08708
P40337	Q8IV48
P40337	P22607
P40337	Q9ULX3
P40337	O14543
P40337	P19235
P40337	P49327
P40337	Q9BXJ1
P40337	P36894
P40337	P30050
P40337	O15067
P40337	Q9Y6W3
P40337	P31689
O76064	Q8IVM0
O76064	P19438
O76064	Q9UL42
O76064	Q49A88
O76064	Q12888
O76064	O95619
O76064	Q08050
O76064	P31749
O76064	P61088
O76064	Q8IZU0
O76064	P49761
O76064	O15446
O76064	Q96D09
O76064	Q92878
O76064	Q96DT7
O76064	Q9Y2J4
O76064	P60331
Q9BV68	Q13114
Q9BV68	Q16595
Q9BV68	P07814
Q9BV68	Q9BRT3
Q9BV68	P28340
Q9BV68	P16260
Q96EP0	P68371
Q96EP0	Q9HCU5
Q96EP0	Q9UKF6
Q96EP0	Q71UM5
Q96EP0	P10599
Q96EP0	O15027
Q96EP0	P09234
Q96EP0	Q9Y2W1
Q9UKT6	P49841
Q9UKT6	Q13616
O94972	P62857
Q9UDY8	Q9BXL6
Q9Y577	Q16548
Q9Y577	Q16566
Q9Y577	P27695
Q96M94	Q8N568
Q96M94	Q9BXF6
P51617	Q06187
Q6R327	P22891
